Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00       8/76          jbwm_new_client [96]
                0.00    0.00      66/76          jbwm_handle_EnterNotify [39]
[46]     0.0    0.00    0.00      76         jbwm_select_client [46]
                0.00    0.00      76/76          unselect_current [51]
                0.00    0.00      76/76          set_border [49]
                0.00    0.00      76/76          set_focused [50]
                0.00    0.00      76/76          set_active_window [48]
-----------------------------------------------
                0.00    0.00      76/76          set_active_window [48]
[47]     0.0    0.00    0.00      76         jbwm_set_current_client [47]
-----------------------------------------------
                0.00    0.00      76/76          jbwm_select_client [46]
[48]     0.0    0.00    0.00      76         set_active_window [48]
                0.00    0.00      76/359         jbwm_set_property [22]
                0.00    0.00      76/76          jbwm_set_current_client [47]
-----------------------------------------------
                0.00    0.00      76/76          jbwm_select_client [46]
[49]     0.0    0.00    0.00      76         set_border [49]
-----------------------------------------------
                0.00    0.00      76/76          jbwm_select_client [46]
[50]     0.0    0.00    0.00      76         set_focused [50]
                0.00    0.00      76/146         jbwm_ewmh_add_state [40]
-----------------------------------------------
                0.00    0.00      76/76          jbwm_select_client [46]
[51]     0.0    0.00    0.00      76         unselect_current [51]
                0.00    0.00      76/140         jbwm_get_current_client [41]
                0.00    0.00      50/50          set_state_not_focused [59]
-----------------------------------------------
                0.00    0.00       1/75          init_supporting [130]
                0.00    0.00       1/75          set_ewmh_client_list [145]
                0.00    0.00       1/75          set_ewmh_supported [146]
                0.00    0.00       2/75          set_name [125]
                0.00    0.00       2/75          set_supporting [126]
                0.00    0.00       8/75          jbwm_set_frame_extents [100]
                0.00    0.00      60/75          set_root_property [57]
[52]     0.0    0.00    0.00      75         set_ewmh_property [52]
                0.00    0.00      75/359         jbwm_set_property [22]
-----------------------------------------------
                0.00    0.00      70/70          jbwm_events_loop [4]
[53]     0.0    0.00    0.00      70         jbwm_handle_Expose [53]
                0.00    0.00      70/254         jbwm_update_title_bar [27]
-----------------------------------------------
                0.00    0.00       1/65          jbwm_grab_root_keys [134]
                0.00    0.00      64/65          jbwm_handle_key_event [55]
[54]     0.0    0.00    0.00      65         jbwm_get_mod_mask [54]
-----------------------------------------------
                0.00    0.00      64/64          jbwm_events_loop [4]
[55]     0.0    0.00    0.00      64         jbwm_handle_key_event [55]
                0.00    0.00      64/140         jbwm_get_current_client [41]
                0.00    0.00      64/65          jbwm_get_mod_mask [54]
                0.00    0.00      45/45          handle_client_key_event [61]
                0.00    0.00      15/15          cond_set_vdesk [79]
                0.00    0.00       3/3           jbwm_exec [113]
-----------------------------------------------
                0.00    0.00       1/63          jbwm_new_client [96]
                0.00    0.00      62/63          check_visibility [78]
[56]     0.0    0.00    0.00      63         jbwm_hide_client [56]
                0.00    0.00      63/92          set_showing [44]
-----------------------------------------------
                0.00    0.00      30/60          get_mixed_client_list [70]
                0.00    0.00      30/60          get_ordered_client_list [71]
[57]     0.0    0.00    0.00      60         set_root_property [57]
                0.00    0.00      60/75          set_ewmh_property [52]
-----------------------------------------------
                0.00    0.00      50/50          set_state_not_focused [59]
[58]     0.0    0.00    0.00      50         get_bg [58]
-----------------------------------------------
                0.00    0.00      50/50          unselect_current [51]
[59]     0.0    0.00    0.00      50         set_state_not_focused [59]
                0.00    0.00      50/50          get_bg [58]
                0.00    0.00      50/83          jbwm_ewmh_remove_state [45]
-----------------------------------------------
                0.00    0.00       9/45          new_title_bar [87]
                0.00    0.00      36/45          add_buttons [82]
[60]     0.0    0.00    0.00      45         get_win [60]
-----------------------------------------------
                0.00    0.00      45/45          jbwm_handle_key_event [55]
[61]     0.0    0.00    0.00      45         handle_client_key_event [61]
                0.00    0.00      34/34          handle_key_move [66]
                0.00    0.00       3/3           jbwm_set_vert [114]
                0.00    0.00       2/2           jbwm_toggle_sticky [124]
                0.00    0.00       2/2           jbwm_toggle_shade [123]
                0.00    0.00       1/1           jbwm_set_not_fullscreen [140]
                0.00    0.00       1/1           jbwm_set_fullscreen [139]
-----------------------------------------------
                0.00    0.00       5/39          jbwm_drag [2]
                0.00    0.00      34/39          point [68]
[62]     0.0    0.00    0.00      39         jbwm_warp [62]
-----------------------------------------------
                0.00    0.00      34/34          key_move [67]
[63]     0.0    0.00    0.00      34         commit_key_move [63]
                0.00    0.00      34/180         jbwm_move_resize [38]
                0.00    0.00      34/358         jbwm_snap_border [23]
                0.00    0.00      34/34          point [68]
-----------------------------------------------
                0.00    0.00      34/34          key_move [67]
[64]     0.0    0.00    0.00      34         get_antecedent [64]
                0.00    0.00       2/2           has_sufficient_size [120]
                0.00    0.00       2/2           can_resize [116]
-----------------------------------------------
                0.00    0.00      34/34          handle_key_move [66]
[65]     0.0    0.00    0.00      34         get_move_flags [65]
-----------------------------------------------
